Neighborhood,Article Counts,Source,Population 2010,Source,% Non-White,Source,Median Household Income,Source,Per capita income,Source,% Unemployed,Source,% below poverty level,Source
Allston,75,Boston Globe API - Dec 2011 - Oct 2012,29196,2010 Census Population Neighborhood Comparisons,33.8,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",40435,"2005-2009 American Community Survey, BRA Research Analysis",26076,"2005-2009 American Community Survey, BRA Research Analysis",6.4,"2005-2009 American Community Survey, BRA Research Analysis",18.7,"2005-2009 American Community Survey, BRA Research Analysis"
Back Bay,87,Boston Globe API - Dec 2011 - Oct 2012,18088,2010 Census Population Neighborhood Comparisons,17.7,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",83485,"2005-2009 American Community Survey, BRA Research Analysis",82540,"2005-2009 American Community Survey, BRA Research Analysis",2.5,"2005-2009 American Community Survey, BRA Research Analysis",2.2,"2005-2009 American Community Survey, BRA Research Analysis"
Bay Village,42,Boston Globe API - Dec 2011 - Oct 2012,1312,2010 Census Population Neighborhood Comparisons,35.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis"
Beacon Hill,39,Boston Globe API - Dec 2011 - Oct 2012,9023,2010 Census Population Neighborhood Comparisons,10.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",82255,"2005-2009 American Community Survey, BRA Research Analysis",75509,"2005-2009 American Community Survey, BRA Research Analysis",3.2,"2005-2009 American Community Survey, BRA Research Analysis",4.2,"2005-2009 American Community Survey, BRA Research Analysis"
Brighton,35,Boston Globe API - Dec 2011 - Oct 2012,45801,2010 Census Population Neighborhood Comparisons,25.4,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",58709,"2005-2009 American Community Survey, BRA Research Analysis",34387,"2005-2009 American Community Survey, BRA Research Analysis",4.2,"2005-2009 American Community Survey, BRA Research Analysis",4.9,"2005-2009 American Community Survey, BRA Research Analysis"
Charlestown,50,Boston Globe API - Dec 2011 - Oct 2012,16439,2010 Census Population Neighborhood Comparisons,19.9,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",83926,"2005-2009 American Community Survey, BRA Research Analysis",52096,"2005-2009 American Community Survey, BRA Research Analysis",5.8,"2005-2009 American Community Survey, BRA Research Analysis",16.6,"2005-2009 American Community Survey, BRA Research Analysis"
Chinatown,,Boston Globe API - Dec 2011 - Oct 2012,4444,2010 Census Population Neighborhood Comparisons,82.5,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis"
Dorchester,308,Boston Globe API - Dec 2011 - Oct 2012,114235,2010 Census Population Neighborhood Comparisons,73.5,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",41878,"2005-2009 American Community Survey, BRA Research Analysis",20446,"2005-2009 American Community Survey, BRA Research Analysis",22,"2005-2009 American Community Survey, BRA Research Analysis",13.8,"2005-2009 American Community Survey, BRA Research Analysis"
Downtown,157,Boston Globe API - Dec 2011 - Oct 2012,11215,2010 Census Population Neighborhood Comparisons,26,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",56461,"2005-2009 American Community Survey, BRA Research Analysis",54139,"2005-2009 American Community Survey, BRA Research Analysis",6.3,"2005-2009 American Community Survey, BRA Research Analysis",17.3,"2005-2009 American Community Survey, BRA Research Analysis"
East Boston,52,Boston Globe API - Dec 2011 - Oct 2012,40508,2010 Census Population Neighborhood Comparisons,35.2,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",43511,"2005-2009 American Community Survey, BRA Research Analysis",21495,"2005-2009 American Community Survey, BRA Research Analysis",8.7,"2005-2009 American Community Survey, BRA Research Analysis",10.4,"2005-2009 American Community Survey, BRA Research Analysis"
Fenway,267,Boston Globe API - Dec 2011 - Oct 2012,33796,2010 Census Population Neighborhood Comparisons,30.4,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",34438,"2005-2009 American Community Survey, BRA Research Analysis",21706,"2005-2009 American Community Survey, BRA Research Analysis",8.7,"2005-2009 American Community Survey, BRA Research Analysis",10.8,"2005-2009 American Community Survey, BRA Research Analysis"
Harbor Islands,1,Boston Globe API - Dec 2011 - Oct 2012,535,2010 Census Population Neighborhood Comparisons,60.7,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",10995,"2005-2009 American Community Survey, BRA Research Analysis",37.7,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis"
Hyde Park,38,Boston Globe API - Dec 2011 - Oct 2012,30637,2010 Census Population Neighborhood Comparisons,65.2,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",53474,"2005-2009 American Community Survey, BRA Research Analysis",25360,"2005-2009 American Community Survey, BRA Research Analysis",9.8,"2005-2009 American Community Survey, BRA Research Analysis",7,"2005-2009 American Community Survey, BRA Research Analysis"
Jamaica Plain,48,Boston Globe API - Dec 2011 - Oct 2012,37468,2010 Census Population Neighborhood Comparisons,37.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",65963,"2005-2009 American Community Survey, BRA Research Analysis",37083,"2005-2009 American Community Survey, BRA Research Analysis",6.1,"2005-2009 American Community Survey, BRA Research Analysis",11.5,"2005-2009 American Community Survey, BRA Research Analysis"
Leather District,167,Boston Globe API - Dec 2011 - Oct 2012,639,2010 Census Population Neighborhood Comparisons,20.5,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis",n/a,"2005-2009 American Community Survey, BRA Research Analysis"
Longwood Medical Area,45,Boston Globe API - Dec 2011 - Oct 2012,3785,2010 Census Population Neighborhood Comparisons,26.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",15956,"2005-2009 American Community Survey, BRA Research Analysis",5584,"2005-2009 American Community Survey, BRA Research Analysis",14,"2005-2009 American Community Survey, BRA Research Analysis",79,"2005-2009 American Community Survey, BRA Research Analysis"
Mattapan,41,Boston Globe API - Dec 2011 - Oct 2012,22600,2010 Census Population Neighborhood Comparisons,91.4,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",47076,"2005-2009 American Community Survey, BRA Research Analysis",20658,"2005-2009 American Community Survey, BRA Research Analysis",12.2,"2005-2009 American Community Survey, BRA Research Analysis",15.1,"2005-2009 American Community Survey, BRA Research Analysis"
Mission Hill,82,Boston Globe API - Dec 2011 - Oct 2012,16305,2010 Census Population Neighborhood Comparisons,45.6,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",36318,"2005-2009 American Community Survey, BRA Research Analysis",24121,"2005-2009 American Community Survey, BRA Research Analysis",11.6,"2005-2009 American Community Survey, BRA Research Analysis",20,"2005-2009 American Community Survey, BRA Research Analysis"
North End,28,Boston Globe API - Dec 2011 - Oct 2012,10131,2010 Census Population Neighborhood Comparisons,6.4,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",70277,"2005-2009 American Community Survey, BRA Research Analysis",64943,"2005-2009 American Community Survey, BRA Research Analysis",2,"2005-2009 American Community Survey, BRA Research Analysis",0.6,"2005-2009 American Community Survey, BRA Research Analysis"
Roslindale,36,Boston Globe API - Dec 2011 - Oct 2012,28680,2010 Census Population Neighborhood Comparisons,43.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",62913,"2005-2009 American Community Survey, BRA Research Analysis",30087,"2005-2009 American Community Survey, BRA Research Analysis",7.9,"2005-2009 American Community Survey, BRA Research Analysis",9.7,"2005-2009 American Community Survey, BRA Research Analysis"
Roxbury,79,Boston Globe API - Dec 2011 - Oct 2012,48454,2010 Census Population Neighborhood Comparisons,81.5,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",27740,"2005-2009 American Community Survey, BRA Research Analysis",17162,"2005-2009 American Community Survey, BRA Research Analysis",n/a-data wrong,"2005-2009 American Community Survey, BRA Research Analysis",29.2,"2005-2009 American Community Survey, BRA Research Analysis"
South Boston,58,Boston Globe API - Dec 2011 - Oct 2012,33311,2010 Census Population Neighborhood Comparisons,19.3,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",61444,"2005-2009 American Community Survey, BRA Research Analysis",39760,"2005-2009 American Community Survey, BRA Research Analysis",5.7,"2005-2009 American Community Survey, BRA Research Analysis",14.3,"2005-2009 American Community Survey, BRA Research Analysis"
South Boston Waterfront,72,Boston Globe API - Dec 2011 - Oct 2012,1889,2010 Census Population Neighborhood Comparisons,10.8,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",76328,"2005-2009 American Community Survey, BRA Research Analysis",62716,"2005-2009 American Community Survey, BRA Research Analysis",4.5,"2005-2009 American Community Survey, BRA Research Analysis",0,"2005-2009 American Community Survey, BRA Research Analysis"
South End,40,Boston Globe API - Dec 2011 - Oct 2012,24577,2010 Census Population Neighborhood Comparisons,39.1,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",62267,"2005-2009 American Community Survey, BRA Research Analysis",55294,"2005-2009 American Community Survey, BRA Research Analysis",9.3,"2005-2009 American Community Survey, BRA Research Analysis",20.3,"2005-2009 American Community Survey, BRA Research Analysis"
West End,33,Boston Globe API - Dec 2011 - Oct 2012,4080,2010 Census Population Neighborhood Comparisons,24.8,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",81397,"2005-2009 American Community Survey, BRA Research Analysis",62866,"2005-2009 American Community Survey, BRA Research Analysis",3.3,"2005-2009 American Community Survey, BRA Research Analysis",2.6,"2005-2009 American Community Survey, BRA Research Analysis"
West Roxbury,28,Boston Globe API - Dec 2011 - Oct 2012,30446,2010 Census Population Neighborhood Comparisons,22.8,"2010 Census, Summary File 1, Boston Redevelopment Authority Research Division Analysis",71066,"2005-2009 American Community Survey, BRA Research Analysis",37464,"2005-2009 American Community Survey, BRA Research Analysis",5.1,"2005-2009 American Community Survey, BRA Research Analysis",6,"2005-2009 American Community Survey, BRA Research Analysis"
