Neighborhood,article_count,population,percent_non_white,median_household_income,per_capita_income,percent_unemployed,percent_below_poverty_level
Allston,79,29196,33.8,40435,26076,6.4,18.7
Back Bay,100,18088,17.7,83485,82540,2.5,2.2
Beacon Hill,46,9023,10.1,82255,75509,3.2,4.2
Brighton,36,45801,25.4,58709,34387,4.2,4.9
Charlestown,54,16439,19.9,83926,52096,5.8,16.6
Dorchester,330,114235,73.5,41878,20446,22,13.8
Downtown,178,11215,26,56461,54139,6.3,17.3
East Boston,57,40508,35.2,43511,21495,8.7,10.4
Fenway,281,33796,30.4,34438,21706,8.7,10.8
Hyde Park,45,30637,65.2,53474,25360,9.8,7
Jamaica Plain,52,37468,37.1,65963,37083,6.1,11.5
Longwood Medical Area,49,3785,26.1,15956,5584,14,79
Mattapan,45,22600,91.4,47076,20658,12.2,15.1
Mission Hill,101,16305,45.6,36318,24121,11.6,20
North End,30,10131,6.4,70277,64943,2,0.6
Roslindale,38,28680,43.1,62913,30087,7.9,9.7
Roxbury,87,48454,81.5,27740,17162,14.8,29.2
South Boston,63,33311,19.3,61444,39760,5.7,14.3
South Boston Waterfront,82,1889,10.8,76328,62716,4.5,0
South End,47,24577,39.1,62267,55294,9.3,20.3
West End,39,4080,24.8,81397,62866,3.3,2.6
West Roxbury,35,30446,22.8,71066,37464,5.1,6
